smiles,assay_id,activity_type,pActivity,molecule_chembl_id,document_year,document_chembl_id,journal,source,assay_description,round_id,assay_context,scaffold,program_id,target_chembl_id,target_name,target_type,admet_solubility,admet_solubility_source,admet_lipophilicity,admet_lipophilicity_source,admet_clearance_hepatocyte,admet_clearance_hepatocyte_source,admet_clearance_microsome,admet_clearance_microsome_source,admet_herg,admet_herg_source,admet_ames,admet_ames_source,admet_bbb,admet_bbb_source,admet_caco2,admet_caco2_source,admet_ppbr,admet_ppbr_source
Brc1ccc(-n2c(SCc3ccccc3)nnc2-c2ccncc2)cc1,CHEMBL950312,IC50,5.89,CHEMBL406917,2008,CHEMBL1144029,J Med Chem,Scientific Literature,Inhibition of human recombinant CYP3A4 expressed in Saccharomyces cerevisiae by fluorescence assay,13,0,c1ccc(CSc2nnc(-c3ccncc3)n2-c2ccccc2)cc1,CYP3A4,CHEMBL340,Cytochrome P450 3A4,metabolic_enzyme,,missing,,missing,,missing,,missing,,missing,,missing,,missing,,missing,,missing
C#CC(C)(C)C[C@]1(c2ccccc2)CCN([C@@H](C)c2ccc(-c3ccc(=O)[nH]c3)cc2)C(=O)O1,CHEMBL3705120,IC50,5.22,CHEMBL3664719,2013,CHEMBL3638974,,BindingDB Patent Bioactivity Data,Biological Assay Example 6: The assay was based on a method published by Moody et al. (Xenobiotica 1999). The inhibition of cytochrome P450 3A4-isoenzyme catalysed N-demethylation of [N-methyl-14C]-Erythromycin by the test compound was assayed at 37° C with human recombinant cytochrome P450 3A4.,59,1,O=C1OC(c2ccccc2)CCN1Cc1ccc(-c2ccc(=O)[nH]c2)cc1,CYP3A4,CHEMBL340,Cytochrome P450 3A4,metabolic_enzyme,,missing,,missing,,missing,,missing,,missing,,missing,,missing,,missing,,missing
C#CCC(Oc1c(N)ncc2c(-c3cnn(C4CCNCC4)c3)coc12)c1c(Cl)ccc(F)c1Cl,CHEMBL2406496,IC50,5.8,CHEMBL2401818,2013,CHEMBL2401646,Bioorg Med Chem Lett,Scientific Literature,Inhibition of CP3A4 (unknown origin),59,2,c1ccc(COc2cncc3c(-c4cnn(C5CCNCC5)c4)coc23)cc1,CYP3A4,CHEMBL340,Cytochrome P450 3A4,metabolic_enzyme,,missing,,missing,,missing,,missing,,missing,,missing,,missing,,missing,,missing
C#CCCCCCCCCCCCCCCCCOP(=O)(O)CO[C@H](C)Cn1cnc2c(N)ncnc21,CHEMBL5056413,IC50,4.73,CHEMBL5094058,2021,CHEMBL5055639,J Med Chem,Scientific Literature,Inhibition of human recombinant CYP3A4 expressed in insect microsome using 7-benzyloxy-4-trifluoromethylcoumarin as a substrate incubated for 30 mins followed by addition of NADPH regenerating system measured immediately by fluorescence based analysis,117,3,c1ncc2nc[nH]c2n1,CYP3A4,CHEMBL340,Cytochrome P450 3A4,metabolic_enzyme,,missing,,missing,,missing,,missing,,missing,,missing,,missing,,missing,,missing
C#CCCCCCCCCCCCCCOP(=O)(O)CO[C@H](C)Cn1cnc2c(N)ncnc21,CHEMBL5056413,IC50,4.26,CHEMBL5094673,2021,CHEMBL5055639,J Med Chem,Scientific Literature,Inhibition of human recombinant CYP3A4 expressed in insect microsome using 7-benzyloxy-4-trifluoromethylcoumarin as a substrate incubated for 30 mins followed by addition of NADPH regenerating system measured immediately by fluorescence based analysis,117,3,c1ncc2nc[nH]c2n1,CYP3A4,CHEMBL340,Cytochrome P450 3A4,metabolic_enzyme,,missing,,missing,,missing,,missing,,missing,,missing,,missing,,missing,,missing
C#CCN(C)c1nc2ccc(C(=O)N(CC(C)C)C[C@@H](O)[C@H](Cc3ccccc3)NC(=O)OCc3cncs3)cc2o1,CHEMBL2060578,IC50,7.52,CHEMBL2057792,2012,CHEMBL2057069,Bioorg Med Chem Lett,Scientific Literature,Inhibition of CYP3A4 in human liver microsomes using midazolam as substrate after 10 mins by LC/MS/MS analysis,46,4,O=C(NC(CCNC(=O)c1ccc2ncoc2c1)Cc1ccccc1)OCc1cncs1,CYP3A4,CHEMBL340,Cytochrome P450 3A4,metabolic_enzyme,,missing,,missing,,missing,,missing,,missing,,missing,,missing,,missing,,missing
C#CCN(C[C@@H](O)[C@H](Cc1ccccc1)NC(=O)OCc1cncs1)C(=O)c1ccc2nc(N3CCCC3)oc2c1,CHEMBL2060578,IC50,7.4,CHEMBL2057524,2012,CHEMBL2057069,Bioorg Med Chem Lett,Scientific Literature,Inhibition of CYP3A4 in human liver microsomes using midazolam as substrate after 10 mins by LC/MS/MS analysis,46,4,O=C(NC(CCNC(=O)c1ccc2nc(N3CCCC3)oc2c1)Cc1ccccc1)OCc1cncs1,CYP3A4,CHEMBL340,Cytochrome P450 3A4,metabolic_enzyme,,missing,,missing,,missing,,missing,,missing,,missing,,missing,,missing,,missing
C#CCNc1nc2ccc(C(=O)N(CC#C)C[C@@H](O)[C@H](Cc3ccccc3)NC(=O)OCc3cncs3)cc2o1,CHEMBL2060578,IC50,7.42,CHEMBL2057787,2012,CHEMBL2057069,Bioorg Med Chem Lett,Scientific Literature,Inhibition of CYP3A4 in human liver microsomes using midazolam as substrate after 10 mins by LC/MS/MS analysis,46,4,O=C(NC(CCNC(=O)c1ccc2ncoc2c1)Cc1ccccc1)OCc1cncs1,CYP3A4,CHEMBL340,Cytochrome P450 3A4,metabolic_enzyme,,missing,,missing,,missing,,missing,,missing,,missing,,missing,,missing,,missing
C#CCOc1cnc(C(=O)Nc2cc(F)c(F)c([C@@]3(C)N=C(N)S[C@@]4(COC)C[C@H]43)c2)cn1,CHEMBL4343471,IC50,4.57,CHEMBL4560579,2020,CHEMBL4342420,J Med Chem,Scientific Literature,Inhibition of CYP3A4 (unknown origin),113,5,O=C(Nc1cccc(C2N=CSC3CC32)c1)c1cnccn1,CYP3A4,CHEMBL340,Cytochrome P450 3A4,metabolic_enzyme,,missing,,missing,,missing,,missing,,missing,,missing,,missing,,missing,,missing
C#C[C@]1(O)CC[C@H]2[C@@H]3CC[C@H]4C[C@H](O)[C@@H](N5CCN(C(=O)[C@@H]6CCCN6C(=O)c6ccc7ccccc7n6)CC5)C[C@]4(C)[C@H]3CC[C@@]21C,CHEMBL3382600,IC50,5.42,CHEMBL3344121,2014,CHEMBL3351452,Bioorg Med Chem,Scientific Literature,Inhibition of CYP3A4 (unknown origin) using AMMC by fluorescence assay,67,6,O=C(C1CCCN1C(=O)c1ccc2ccccc2n1)N1CCN(C2CCC3CCC4C5CCCC5CCC4C3C2)CC1,CYP3A4,CHEMBL340,Cytochrome P450 3A4,metabolic_enzyme,,missing,,missing,,missing,,missing,,missing,,missing,,missing,,missing,,missing
