smiles,assay_id,activity_type,pActivity,molecule_chembl_id,document_year,document_chembl_id,journal,source,assay_description,round_id,assay_context,scaffold,program_id,target_chembl_id,target_name,target_type,admet_solubility,admet_solubility_source,admet_lipophilicity,admet_lipophilicity_source,admet_clearance_hepatocyte,admet_clearance_hepatocyte_source,admet_clearance_microsome,admet_clearance_microsome_source,admet_herg,admet_herg_source,admet_ames,admet_ames_source,admet_bbb,admet_bbb_source,admet_caco2,admet_caco2_source,admet_ppbr,admet_ppbr_source
Brc1cc(Br)cc([C@H]2C[C@@H](CN3CCCC3)N2Cc2ccccc2Br)c1,CHEMBL5389038,IC50,4.6,CHEMBL5417318,2024,CHEMBL5385915,J Med Chem,Scientific Literature,Inhibition of full length hERG channel expressed in CHO cells at -40 mV holding potential incubated for 3 to 4 mins by whole-cell voltage clamp method,119,0,c1ccc(CN2C(CN3CCCC3)CC2c2ccccc2)cc1,hERG,CHEMBL240,hERG (KCNH2),ion_channel,,missing,,missing,,missing,,missing,,missing,,missing,,missing,,missing,,missing
Brc1ccc(Nc2ccc(CN3CCC4(CC3)OCCc3sccc34)cc2)cc1,CHEMBL4261225,IC50,5.1,CHEMBL4280886,2018,CHEMBL4257587,J Med Chem,Scientific Literature,Inhibition of human ERG expressed in CHO-S1 cells by automated planar chip-based electrophysiology,89,1,c1ccc(Nc2ccc(CN3CCC4(CC3)OCCc3sccc34)cc2)cc1,hERG,CHEMBL240,hERG (KCNH2),ion_channel,,missing,,missing,,missing,,missing,,missing,,missing,,missing,,missing,,missing
Brc1ccc(Nc2ccc(CN3CCC4(CC3)OCCc3sccc34)cc2)cc1,CHEMBL4261226,IC50,5.64,CHEMBL4280886,2018,CHEMBL4257587,J Med Chem,Scientific Literature,Inhibition of human ERG expressed in CHO-S1 cells by Qpatch clamp assay,89,2,c1ccc(Nc2ccc(CN3CCC4(CC3)OCCc3sccc34)cc2)cc1,hERG,CHEMBL240,hERG (KCNH2),ion_channel,,missing,,missing,,missing,,missing,,missing,,missing,,missing,,missing,,missing
Brc1ccc2c(NC3=NC[C@@]4(CN5CCC4CC5)O3)ncnn12,CHEMBL3871239,IC50,5.6,CHEMBL3897030,2017,CHEMBL3870365,ACS Med Chem Lett,Scientific Literature,Inhibition of human ERG by patch clamp assay,83,3,c1cc2c(NC3=NCC4(CN5CCC4CC5)O3)ncnn2c1,hERG,CHEMBL240,hERG (KCNH2),ion_channel,,missing,,missing,,missing,,missing,,missing,,missing,,missing,,missing,,missing
Brc1cccc2nc(C#Cc3ccccn3)ccc12,CHEMBL2345730,IC50,4.64,CHEMBL2335295,2013,CHEMBL2331457,Bioorg Med Chem Lett,Scientific Literature,Inhibition of human ERG,54,4,C(#Cc1ccc2ccccc2n1)c1ccccn1,hERG,CHEMBL240,hERG (KCNH2),ion_channel,,missing,,missing,,missing,,missing,,missing,,missing,,missing,,missing,,missing
Brc1cnc2nc(N3CCN4CCC3CC4)oc2c1,CHEMBL1069497,IC50,5.64,CHEMBL611369,2010,CHEMBL1159071,J Med Chem,Scientific Literature,Inhibition of human ERG,23,5,c1cnc2nc(N3CCN4CCC3CC4)oc2c1,hERG,CHEMBL240,hERG (KCNH2),ion_channel,,missing,,missing,,missing,,missing,,missing,,missing,,missing,,missing,,missing
Brc1cncc(COCC2(c3ccccc3)CCNCC2)c1,CHEMBL2342727,IC50,4.82,CHEMBL2333645,2013,CHEMBL2331544,Bioorg Med Chem Lett,Scientific Literature,Inhibition of human ERG,54,6,c1ccc(C2(COCc3cccnc3)CCNCC2)cc1,hERG,CHEMBL240,hERG (KCNH2),ion_channel,,missing,,missing,,missing,,missing,,missing,,missing,,missing,,missing,,missing
C#CCNc1ccnc2sc3c(=O)n(-c4ccc(OC)cc4)cnc3c12,CHEMBL3361668,IC50,4.51,CHEMBL1783876,2014,CHEMBL3352565,Eur J Med Chem,Scientific Literature,Inhibition of human ERG expressed in CHO-K1 cells by whole cell patch-clamp assay,61,7,O=c1c2sc3ncccc3c2ncn1-c1ccccc1,hERG,CHEMBL240,hERG (KCNH2),ion_channel,,missing,,missing,,missing,,missing,,missing,,missing,,missing,,missing,,missing
C#CCOc1cnc(C(=O)Nc2cc(F)c(F)c([C@@]3(C)N=C(N)S[C@@]4(COC)C[C@H]43)c2)cn1,CHEMBL4343474,IC50,5.16,CHEMBL4560579,2020,CHEMBL4342420,J Med Chem,Scientific Literature,Inhibition of human ERG,98,8,O=C(Nc1cccc(C2N=CSC3CC32)c1)c1cnccn1,hERG,CHEMBL240,hERG (KCNH2),ion_channel,,missing,,missing,,missing,,missing,,missing,,missing,,missing,,missing,,missing
C#Cc1cnc(Nc2cnc(C#N)c(O[C@H](C)CN(C)C)n2)cc1NC,CHEMBL2216275,IC50,5.1,CHEMBL2204589,2012,CHEMBL2203133,J Med Chem,Scientific Literature,Inhibition of human ERG overexpressed in HEK cells,43,9,c1ccc(Nc2cnccn2)nc1,hERG,CHEMBL240,hERG (KCNH2),ion_channel,,missing,,missing,,missing,,missing,,missing,,missing,,missing,,missing,,missing
