smiles,assay_id,activity_type,pActivity,molecule_chembl_id,document_year,document_chembl_id,journal,source,assay_description,round_id,assay_context,scaffold,program_id,target_chembl_id,target_name,target_type
Brc1ccc(CNCCN2CCN(Cc3cc4ccccc4[nH]3)CC2)cc1,CHEMBL3626473,Ki,5.28,CHEMBL3622101,2015,CHEMBL3621057,ACS Med Chem Lett,Scientific Literature,Displacement of [3H]spiperone from human dopamine D2L receptor expressed in CHO cells,108,0,c1ccc(CNCCN2CCN(Cc3cc4ccccc4[nH]3)CC2)cc1,DRD2,CHEMBL217,Dopamine D2 receptor,gpcr
Brc1ccc(N2CCN(Cc3ccccc3)CC2)c2cc[nH]c12,CHEMBL884862,Ki,7.33,CHEMBL90476,1998,CHEMBL1130595,Bioorg Med Chem Lett,Scientific Literature,Affinity towards human Dopamine receptor D2 expressed in CHO cells using [3H]spiperone,13,1,c1ccc(CN2CCN(c3cccc4[nH]ccc34)CC2)cc1,DRD2,CHEMBL217,Dopamine D2 receptor,gpcr
Brc1ccc(NCCN2CCN(CCc3c[nH]c4ccccc34)CC2)cc1,CHEMBL3626473,Ki,7.28,CHEMBL3622097,2015,CHEMBL3621057,ACS Med Chem Lett,Scientific Literature,Displacement of [3H]spiperone from human dopamine D2L receptor expressed in CHO cells,108,0,c1ccc(NCCN2CCN(CCc3c[nH]c4ccccc34)CC2)cc1,DRD2,CHEMBL217,Dopamine D2 receptor,gpcr
Brc1ccc(NCCN2CCN(CCc3c[nH]c4ccccc34)CC2)cc1,CHEMBL3626475,Ki,7.32,CHEMBL3622097,2015,CHEMBL3621057,ACS Med Chem Lett,Scientific Literature,Displacement of [3H]spiperone from human dopamine D2S receptor expressed in CHO cells,108,2,c1ccc(NCCN2CCN(CCc3c[nH]c4ccccc34)CC2)cc1,DRD2,CHEMBL217,Dopamine D2 receptor,gpcr
Brc1ccc(NCCN2CCN(Cc3cc4ccccc4[nH]3)CC2)cc1,CHEMBL3626473,Ki,6.04,CHEMBL3622093,2015,CHEMBL3621057,ACS Med Chem Lett,Scientific Literature,Displacement of [3H]spiperone from human dopamine D2L receptor expressed in CHO cells,108,0,c1ccc(NCCN2CCN(Cc3cc4ccccc4[nH]3)CC2)cc1,DRD2,CHEMBL217,Dopamine D2 receptor,gpcr
Brc1ccc2c(c1)C1CN(Cc3ccccc3)CC1CO2,CHEMBL670398,Ki,6.8,CHEMBL418321,1999,CHEMBL1131803,Bioorg Med Chem Lett,Scientific Literature,Ability to displace [125I]iodosulpiride from human dopamine D2 (hD2) receptor transfected into CHO cells.,16,3,c1ccc(CN2CC3COc4ccccc4C3C2)cc1,DRD2,CHEMBL217,Dopamine D2 receptor,gpcr
Brc1cccc(N2CCN(Cc3cc4ccccn4n3)CC2)n1,CHEMBL934518,Ki,6.06,CHEMBL272396,2008,CHEMBL1143102,J Med Chem,Scientific Literature,Displacement of [3H]spiperone from cloned human dopamine D2L receptor expressed in CHO cells,58,4,c1ccc(N2CCN(Cc3cc4ccccn4n3)CC2)nc1,DRD2,CHEMBL217,Dopamine D2 receptor,gpcr
Brc1cccc(N2CCN(Cc3cc4ccccn4n3)CC2)n1,CHEMBL934519,Ki,6.26,CHEMBL272396,2008,CHEMBL1143102,J Med Chem,Scientific Literature,Displacement of [3H]spiperone from cloned human dopamine D2S receptor expressed in CHO cells,58,5,c1ccc(N2CCN(Cc3cc4ccccn4n3)CC2)nc1,DRD2,CHEMBL217,Dopamine D2 receptor,gpcr
Brc1cccc(N2CCN(Cc3cnn4ccccc34)CC2)n1,CHEMBL934518,Ki,6.68,CHEMBL272395,2008,CHEMBL1143102,J Med Chem,Scientific Literature,Displacement of [3H]spiperone from cloned human dopamine D2L receptor expressed in CHO cells,58,4,c1ccc(N2CCN(Cc3cnn4ccccc34)CC2)nc1,DRD2,CHEMBL217,Dopamine D2 receptor,gpcr
Brc1cccc(N2CCN(Cc3cnn4ccccc34)CC2)n1,CHEMBL934519,Ki,6.82,CHEMBL272395,2008,CHEMBL1143102,J Med Chem,Scientific Literature,Displacement of [3H]spiperone from cloned human dopamine D2S receptor expressed in CHO cells,58,5,c1ccc(N2CCN(Cc3cnn4ccccc34)CC2)nc1,DRD2,CHEMBL217,Dopamine D2 receptor,gpcr
C#CC(C#C)=C1CCC(N(CCC)CCC)CC1,CHEMBL672527,Ki,4.92,CHEMBL165022,2000,CHEMBL1133710,J Med Chem,Scientific Literature,Binding affinity on High Affinity Site of Dopamine receptor D2L,20,6,C=C1CCCCC1,DRD2,CHEMBL217,Dopamine D2 receptor,gpcr
