smiles,assay_id,activity_type,pActivity,molecule_chembl_id,document_year,document_chembl_id,journal,source,assay_description,round_id,assay_context,scaffold,program_id,target_chembl_id,target_name,target_type
C#CCN(C)C(=O)CC1CN(S(=O)(=O)c2cc3cc(Cl)ccc3[nH]2)CCN1C(=O)c1ccc(C2=NCCN2C)cc1,CHEMBL659609,IC50,7.85,CHEMBL64904,2004,CHEMBL1137970,Bioorg Med Chem Lett,Scientific Literature,In vitro inhibitory activity against Coagulation factor X was determined,42,0,O=C(c1ccc(C2=NCCN2)cc1)N1CCN(S(=O)(=O)c2cc3ccccc3[nH]2)CC1,FXa,CHEMBL244,Factor Xa (Coagulation factor X),enzyme
C#CCN(C)C(=O)CC1CN(S(=O)(=O)c2cc3ccc(Cl)cc3s2)CCN1C(=O)c1ccc(C2=NCCN2C)cc1,CHEMBL659609,IC50,7.72,CHEMBL291644,2004,CHEMBL1137970,Bioorg Med Chem Lett,Scientific Literature,In vitro inhibitory activity against Coagulation factor X was determined,42,0,O=C(c1ccc(C2=NCCN2)cc1)N1CCN(S(=O)(=O)c2cc3ccccc3s2)CC1,FXa,CHEMBL244,Factor Xa (Coagulation factor X),enzyme
C#CCO[C@@H]1C[C@]23CC[C@H]4[C@@](C)(CCC[C@@]4(C)C(=O)OCC)[C@@H]2CC[C@@]1(C)C3,CHEMBL4604302,IC50,4.49,CHEMBL4639518,2020,CHEMBL4602655,Bioorg Med Chem Lett,Scientific Literature,Inhibition of factor 10a (unknown origin),123,1,C1CCC2C(C1)CCC13CCC(CCC21)C3,FXa,CHEMBL244,Factor Xa (Coagulation factor X),enzyme
C#CC[N+](C)(C)c1ccc(CNC(=O)c2cc3cc(F)ccc3n2Cc2cccc(C(=N)N)c2)cc1,CHEMBL663407,Ki,7.12,CHEMBL554257,2002,CHEMBL1135480,J Med Chem,Scientific Literature,Inhibition of Coagulation factor Xa,22,2,O=C(NCc1ccccc1)c1cc2ccccc2n1Cc1ccccc1,FXa,CHEMBL244,Factor Xa (Coagulation factor X),enzyme
C#Cc1cc(OC2CCOCC2)cc(C(Nc2ccc(C(=N)N)cc2)C(=O)O)c1,CHEMBL863324,Ki,5.54,CHEMBL382278,2005,CHEMBL1141948,Bioorg Med Chem Lett,Scientific Literature,Binding affinity to FXa,54,3,c1ccc(NCc2cccc(OC3CCOCC3)c2)cc1,FXa,CHEMBL244,Factor Xa (Coagulation factor X),enzyme
C#Cc1cc(O[C@@H]2CCOC2)cc(C(Nc2ccc(C(=N)N)cc2)C(=O)O)c1,CHEMBL863324,Ki,4.82,CHEMBL381222,2005,CHEMBL1141948,Bioorg Med Chem Lett,Scientific Literature,Binding affinity to FXa,54,3,c1ccc(NCc2cccc(OC3CCOC3)c2)cc1,FXa,CHEMBL244,Factor Xa (Coagulation factor X),enzyme
C#Cc1cc(O[C@H]2CCOC2)cc(C(Nc2ccc(C(=N)N)cc2)C(=O)O)c1,CHEMBL863324,Ki,5.58,CHEMBL198844,2005,CHEMBL1141948,Bioorg Med Chem Lett,Scientific Literature,Binding affinity to FXa,54,3,c1ccc(NCc2cccc(OC3CCOC3)c2)cc1,FXa,CHEMBL244,Factor Xa (Coagulation factor X),enzyme
C#Cc1ccc(-c2cc(Cn3c(C(=O)NC4CCN(C(C)C)CC4)cc4ccccc43)no2)s1,CHEMBL5107327,Ki,7.89,CHEMBL5180386,2022,CHEMBL5104198,J Med Chem,Scientific Literature,Inhibition of human fXa assessed as inhibition constant using Cbz-D-Arg-Gly-L-Arg-pNA as substrate preincubated for 30 mins followed by substrate addition and measured after 60 mins by spectrofluorometric method,125,4,O=C(NC1CCNCC1)c1cc2ccccc2n1Cc1cc(-c2cccs2)on1,FXa,CHEMBL244,Factor Xa (Coagulation factor X),enzyme
C#Cc1ccc(-c2ccc(C(=O)NCC(C)C)cc2C(=O)O)c(C(=O)Nc2ccc(C(=N)N)cc2)c1,CHEMBL1035204,IC50,8.09,CHEMBL487956,2009,CHEMBL1137759,Bioorg Med Chem,Scientific Literature,Inhibition of factor 10a,83,5,O=C(Nc1ccccc1)c1ccccc1-c1ccccc1,FXa,CHEMBL244,Factor Xa (Coagulation factor X),enzyme
C#Cc1ccc(NC(=O)Cn2c(C(=O)NC3CCN(C(C)C)CC3)cc3ccccc32)cc1,CHEMBL5107327,Ki,7.31,CHEMBL5190215,2022,CHEMBL5104198,J Med Chem,Scientific Literature,Inhibition of human fXa assessed as inhibition constant using Cbz-D-Arg-Gly-L-Arg-pNA as substrate preincubated for 30 mins followed by substrate addition and measured after 60 mins by spectrofluorometric method,125,4,O=C(Cn1c(C(=O)NC2CCNCC2)cc2ccccc21)Nc1ccccc1,FXa,CHEMBL244,Factor Xa (Coagulation factor X),enzyme
C#Cc1ccc(NC(=O)c2cc(Cl)ccc2NC(=O)c2ccc(C(=N)N(C)C)cc2)cc1,CHEMBL968695,IC50,9.05,CHEMBL470905,2009,CHEMBL1138586,Bioorg Med Chem Lett,Scientific Literature,Inhibition of Factor 10a,83,6,O=C(Nc1ccccc1C(=O)Nc1ccccc1)c1ccccc1,FXa,CHEMBL244,Factor Xa (Coagulation factor X),enzyme
C#Cc1ccc(NC(=O)c2cc(Cl)ccc2NC(=O)c2ccc(C(=N)N(C)C)cc2)nc1,CHEMBL968695,IC50,9.1,CHEMBL513218,2009,CHEMBL1138586,Bioorg Med Chem Lett,Scientific Literature,Inhibition of Factor 10a,83,6,O=C(Nc1ccccc1C(=O)Nc1ccccn1)c1ccccc1,FXa,CHEMBL244,Factor Xa (Coagulation factor X),enzyme
C#Cc1ccc(NC(=O)c2cc(OC)ccc2NC(=O)c2nc3c(s2)CN(C)CC3)cc1,CHEMBL4383871,IC50,7.7,CHEMBL4530584,2018,CHEMBL4382223,Bioorg Med Chem,Scientific Literature,Inhibition of human factor Xa using S-2222 as substrate preincubated for 30 mins followed by substrate addition and measured for 20 mins,121,7,O=C(Nc1ccccc1C(=O)Nc1ccccc1)c1nc2c(s1)CNCC2,FXa,CHEMBL244,Factor Xa (Coagulation factor X),enzyme
C/C(=C(/F)C(=O)Nc1ccc(-c2ccccc2S(N)(=O)=O)cc1)c1ccc2ccnc(N)c2c1,CHEMBL663499,IC50,6.06,CHEMBL62362,2002,CHEMBL1134849,Bioorg Med Chem Lett,Scientific Literature,Concentration required for inhibition of Coagulation factor X,22,8,O=C(C=Cc1ccc2ccncc2c1)Nc1ccc(-c2ccccc2)cc1,FXa,CHEMBL244,Factor Xa (Coagulation factor X),enzyme
C/C(=C(/F)C(=O)Nc1ccc(-c2ccccc2S(N)(=O)=O)cc1)c1ccc2ncnc(N)c2c1,CHEMBL663499,IC50,6.57,CHEMBL303526,2002,CHEMBL1134849,Bioorg Med Chem Lett,Scientific Literature,Concentration required for inhibition of Coagulation factor X,22,8,O=C(C=Cc1ccc2ncncc2c1)Nc1ccc(-c2ccccc2)cc1,FXa,CHEMBL244,Factor Xa (Coagulation factor X),enzyme
C/C(=C(\CC(=O)O)C(=O)Nc1ccc(-c2ccccc2S(N)(=O)=O)cc1)c1cccc(C(=N)N)c1,CHEMBL682017,IC50,6.63,CHEMBL39425,2002,CHEMBL1136021,Bioorg Med Chem Lett,Scientific Literature,Inhibitory activity against factor Xa,22,9,O=C(C=Cc1ccccc1)Nc1ccc(-c2ccccc2)cc1,FXa,CHEMBL244,Factor Xa (Coagulation factor X),enzyme
C/C(=C(\CC(N)=O)C(=O)Nc1ccc(-c2ccccc2S(N)(=O)=O)cc1)c1cccc(C(=N)N)c1,CHEMBL682017,IC50,7.0,CHEMBL40162,2002,CHEMBL1136021,Bioorg Med Chem Lett,Scientific Literature,Inhibitory activity against factor Xa,22,9,O=C(C=Cc1ccccc1)Nc1ccc(-c2ccccc2)cc1,FXa,CHEMBL244,Factor Xa (Coagulation factor X),enzyme
C/C(=C(\CC(N)=O)C(=O)Nc1ccc(-c2ccccc2S(N)(=O)=O)cc1)c1cccc(C(=N)N)c1,CHEMBL885073,IC50,7.0,CHEMBL40162,2003,CHEMBL1136273,Bioorg Med Chem Lett,Scientific Literature,Inhibitory concentration to coagulation factor X,33,10,O=C(C=Cc1ccccc1)Nc1ccc(-c2ccccc2)cc1,FXa,CHEMBL244,Factor Xa (Coagulation factor X),enzyme
C/C(=C(\F)C(=O)Nc1ccc(-c2ccccc2C#N)cc1)c1ccc2ccnc(N)c2c1,CHEMBL663499,IC50,6.72,CHEMBL60097,2002,CHEMBL1134849,Bioorg Med Chem Lett,Scientific Literature,Concentration required for inhibition of Coagulation factor X,22,8,O=C(C=Cc1ccc2ccncc2c1)Nc1ccc(-c2ccccc2)cc1,FXa,CHEMBL244,Factor Xa (Coagulation factor X),enzyme
C/C(=C(\F)C(=O)Nc1ccc(-c2ccccc2C(N)=O)cc1)c1ccc2ccnc(N)c2c1,CHEMBL663499,IC50,6.66,CHEMBL62959,2002,CHEMBL1134849,Bioorg Med Chem Lett,Scientific Literature,Concentration required for inhibition of Coagulation factor X,22,8,O=C(C=Cc1ccc2ccncc2c1)Nc1ccc(-c2ccccc2)cc1,FXa,CHEMBL244,Factor Xa (Coagulation factor X),enzyme
C/C(=C(\F)C(=O)Nc1ccc(-c2ccccc2S(N)(=O)=O)cc1)c1cc(Cl)ccc1C#N,CHEMBL663499,IC50,5.02,CHEMBL303776,2002,CHEMBL1134849,Bioorg Med Chem Lett,Scientific Literature,Concentration required for inhibition of Coagulation factor X,22,8,O=C(C=Cc1ccccc1)Nc1ccc(-c2ccccc2)cc1,FXa,CHEMBL244,Factor Xa (Coagulation factor X),enzyme
C/C(=C(\F)C(=O)Nc1ccc(-c2ccccc2S(N)(=O)=O)cc1)c1cc(N)ccc1[N+](=O)[O-],CHEMBL663499,IC50,6.6,CHEMBL64942,2002,CHEMBL1134849,Bioorg Med Chem Lett,Scientific Literature,Concentration required for inhibition of Coagulation factor X,22,8,O=C(C=Cc1ccccc1)Nc1ccc(-c2ccccc2)cc1,FXa,CHEMBL244,Factor Xa (Coagulation factor X),enzyme
C/C(=C(\F)C(=O)Nc1ccc(-c2ccccc2S(N)(=O)=O)cc1)c1ccc(F)c(C(=N)N)c1,CHEMBL682017,IC50,8.44,CHEMBL40074,2002,CHEMBL1136021,Bioorg Med Chem Lett,Scientific Literature,Inhibitory activity against factor Xa,22,9,O=C(C=Cc1ccccc1)Nc1ccc(-c2ccccc2)cc1,FXa,CHEMBL244,Factor Xa (Coagulation factor X),enzyme
C/C(=C(\F)C(=O)Nc1ccc(-c2ccccc2S(N)(=O)=O)cc1)c1ccc2[nH]nc(N)c2c1,CHEMBL885073,IC50,5.23,CHEMBL103041,2003,CHEMBL1136273,Bioorg Med Chem Lett,Scientific Literature,Inhibitory concentration to coagulation factor X,33,10,O=C(C=Cc1ccc2[nH]ncc2c1)Nc1ccc(-c2ccccc2)cc1,FXa,CHEMBL244,Factor Xa (Coagulation factor X),enzyme
C/C(=C(\F)C(=O)Nc1ccc(-c2ccccc2S(N)(=O)=O)cc1)c1ccc2ccnc(N)c2c1,CHEMBL663499,IC50,7.85,CHEMBL302841,2002,CHEMBL1134849,Bioorg Med Chem Lett,Scientific Literature,Concentration required for inhibition of Coagulation factor X,22,8,O=C(C=Cc1ccc2ccncc2c1)Nc1ccc(-c2ccccc2)cc1,FXa,CHEMBL244,Factor Xa (Coagulation factor X),enzyme
