budget,hits,hit_rate,enrichment_factor,pct_library
50,25,0.5,49.9944,0.020002240250908104
100,41,0.41,40.995408,0.04000448050181621
200,86,0.43,42.995184,0.08000896100363242
500,200,0.4,39.995520000000006,0.20002240250908102
1000,313,0.313,31.2964944,0.40004480501816203
2000,501,0.2505,25.047194400000002,0.8000896100363241
5000,888,0.1776,17.75801088,2.00022402509081
10000,1267,0.1267,12.668580960000002,4.00044805018162
20000,1625,0.08125,8.12409,8.00089610036324
50000,2081,0.04162,4.161533856,20.002240250908102
