,name,n_total,n_actives,baseline_rate,roc_auc,partial_auc_10,partial_auc_5,bedroc_20,bedroc_80,rie_20,average_precision,ap_lift,best_f1,ef_0.1%_ef,ef_0.1%_hits,ef_0.1%_hitrate,ef_0.5%_ef,ef_0.5%_hits,ef_0.5%_hitrate,ef_1%_ef,ef_1%_hits,ef_1%_hitrate,ef_2%_ef,ef_2%_hits,ef_2%_hitrate,ef_5%_ef,ef_5%_hits,ef_5%_hitrate,ef_10%_ef,ef_10%_hits,ef_10%_hitrate,ef_20%_ef,ef_20%_hits,ef_20%_hitrate,auac,recovery_0.1%,recovery_0.5%,recovery_1%,recovery_2%,recovery_5%,recovery_10%,recovery_20%
egfr,egfr,205632,4032,0.0196078431372549,0.9425624714584907,0.6657684210837111,0.5420881952317964,0.6328178881628697,0.55360081035367,10.837326068631803,0.4297092128279556,21.915169854225734,0.44238633625026164,47.76585365853659,192,0.9365853658536586,36.811284046692606,742,0.7217898832684825,29.49367704280156,1189,0.578307392996109,22.28769455252918,1797,0.4370136186770428,13.036475051065072,2628,0.255617157864021,8.12011865972864,3274,0.15921801293585566,4.623060837426445,3728,0.09064825171424402,0.9338850515370114,4.761904761904762,18.40277777777778,29.489087301587304,44.56845238095239,65.17857142857143,81.20039682539682,92.46031746031747
drd2,drd2,164373,3223,0.0196078431372549,0.9595896360022486,0.7307551053748129,0.6101292977512216,0.692366313820579,0.5887438784155814,11.763163182305368,0.4659118259414993,23.761503123016467,0.48539140017113025,42.91463414634146,138,0.8414634146341463,36.339829476248475,585,0.7125456760048721,30.79245283018868,992,0.6037735849056604,24.18892607240645,1559,0.47429266808640097,14.590046239961062,2351,0.2860793380384522,8.712538784449718,2808,0.17083409381273956,4.747216645373244,3060,0.09308267932104398,0.9505823329301973,4.281725100837728,18.15079118833385,30.77877753645672,48.3710828420726,72.94446168166304,87.12379770400248,94.94260006205398
adrb2,adrb2,15702,447,0.0284677111196026,0.745381607379984,0.17973716029585046,0.10172921629832003,0.14992319843649618,0.08301318844983294,3.137197624920248,0.07317972774350603,2.570622114157789,0.1427933957735083,4.683668903803132,2,0.13333333333333333,3.1524694544828775,7,0.08974358974358974,3.57987432137819,16,0.10191082802547771,3.3561321762920535,30,0.09554140127388536,3.7588680374470997,84,0.1070063694267516,3.0876416021886888,138,0.08789808917197452,2.3381054161501305,209,0.06656050955414013,0.7383740711011036,0.44742729306487694,1.5659955257270695,3.5794183445190155,6.7114093959731544,18.79194630872483,30.87248322147651,46.75615212527964
bace1,bace1,18706,485,0.025927509889874908,0.671675595792099,0.07230130409174414,0.02880781606359944,0.028588343237755713,0.005198148842755973,1.4172720408586719,0.03970594443453718,1.5314214362730978,0.08227848100193554,0.0,0,0.0,1.2441636182241436,3,0.03225806451612903,1.031258614036055,5,0.026737967914438502,1.3406361982468713,13,0.034759358288770054,1.1137593031589392,27,0.028877005347593583,1.6706389547384088,81,0.04331550802139037,1.536164595717006,149,0.03982892274792836,0.6672262937852235,0.0,0.6185567010309279,1.0309278350515463,2.6804123711340204,5.567010309278351,16.70103092783505,30.721649484536083
esr1,esr1,21445,627,0.029237584518535788,0.863933232849808,0.4390917839932103,0.31058572027672654,0.420773682666983,0.32993229274202485,6.953862842599773,0.22174467991751776,7.58423390882164,0.3298969071667881,16.28692944482418,10,0.47619047619047616,13.744950737080595,43,0.40186915887850466,11.986875642802843,75,0.35046728971962615,10.308713052810447,129,0.3014018691588785,8.550637958532695,268,0.25,5.9982087171796525,376,0.17537313432835822,3.8437001594896336,482,0.11238050827698765,0.8532889856213904,1.5948963317384368,6.8580542264752795,11.961722488038278,20.574162679425836,42.74322169059011,59.96810207336522,76.87400318979266
hdac2,hdac2,10604,238,0.022444360618634477,0.8661939404355221,0.32093244397894216,0.19839017991916041,0.29459313985159413,0.20586269211468144,5.456208160644611,0.1298472791890972,5.785296422357927,0.20321931585895092,0.0,0,0.0,15.131758363722847,18,0.33962264150943394,10.928492151577613,26,0.24528301886792453,7.355715871254162,35,0.1650943396226415,5.968638021246234,71,0.1339622641509434,4.749690819724116,113,0.10660377358490566,3.6148089424449026,172,0.08113207547169811,0.8579384979189716,0.0,7.563025210084033,10.92436974789916,14.705882352941178,29.831932773109244,47.47899159663865,72.26890756302521
jak2,jak2,6743,153,0.022690197241583866,0.865473037975939,0.2587997262637984,0.1096730042548127,0.21824959427968701,0.06365973644542845,4.294620077295333,0.09137088106031221,4.026887914965263,0.18867924525028262,0.0,0,0.0,1.335511982570806,1,0.030303030303030304,1.973368451858355,3,0.04477611940298507,3.617842161740318,11,0.08208955223880597,4.707976959329725,36,0.10682492581602374,4.904142665968464,75,0.11127596439169139,3.7271484261360333,114,0.08456973293768547,0.8571760208359382,0.0,0.6535947712418301,1.9607843137254901,7.18954248366013,23.52941176470588,49.01960784313725,74.50980392156863
pparg,pparg,26589,723,0.027191695814058444,0.7866270882842405,0.24468189548881517,0.14030391124209793,0.21552359268224688,0.1261512176260308,4.110277929652929,0.09254477719014413,3.403420581893143,0.18323442132573373,5.657835939993617,4,0.15384615384615385,5.014900037721614,18,0.13636363636363635,5.134752994597981,37,0.13962264150943396,4.917309390408765,71,0.1337099811676083,4.565860831936158,165,0.12415349887133183,3.9155715619331293,283,0.10647103085026335,2.925751347942909,423,0.07955614068083505,0.7788659834839509,0.5532503457814661,2.4896265560165975,5.117565698478561,9.820193637621024,22.821576763485478,39.14246196403873,58.50622406639005
cyp3a4,cyp3a4,16983,333,0.0196078431372549,0.4974586298009721,0.23331259187115042,0.19739739739739737,0.21229876745432236,0.263699733558727,4.301682071891899,0.15412538272585122,7.860394519018413,0.21238938049218126,51.0,16,1.0,25.5,42,0.5,15.390532544378697,51,0.30177514792899407,9.47787610619469,63,0.18584070796460178,4.745583038869258,79,0.09305064782096584,2.913427561837456,97,0.05712603062426384,1.7871024734982333,119,0.03504122497055359,0.49755814814991633,4.804804804804805,12.612612612612612,15.315315315315313,18.91891891891892,23.723723723723726,29.129129129129126,35.73573573573574
fxa,fxa,22695,445,0.0196078431372549,0.8332064638303245,0.46562959222320416,0.37579295543491975,0.4467821930315445,0.42885749402164935,7.948017521237226,0.29107647741331105,14.844900348078864,0.3484662576191351,48.68181818181819,21,0.9545454545454546,32.94690265486726,73,0.6460176991150443,23.694690265486727,105,0.4646017699115044,16.32450331125828,145,0.3200883002207506,9.399470899470899,209,0.18430335097001763,5.7765535478184225,257,0.1132657558395769,3.5280898876404496,314,0.06917823309098921,0.8266299313564588,4.719101123595506,16.40449438202247,23.595505617977526,32.58426966292135,46.96629213483146,57.752808988764045,70.56179775280899
