,name,n_total,n_actives,baseline_rate,roc_auc,partial_auc_10,partial_auc_5,bedroc_20,bedroc_80,rie_20,average_precision,ap_lift,best_f1,ef_0.1%_ef,ef_0.1%_hits,ef_0.1%_hitrate,ef_0.5%_ef,ef_0.5%_hits,ef_0.5%_hitrate,ef_1%_ef,ef_1%_hits,ef_1%_hitrate,ef_2%_ef,ef_2%_hits,ef_2%_hitrate,ef_5%_ef,ef_5%_hits,ef_5%_hitrate,ef_10%_ef,ef_10%_hits,ef_10%_hitrate,ef_20%_ef,ef_20%_hits,ef_20%_hitrate,auac,recovery_0.1%,recovery_0.5%,recovery_1%,recovery_2%,recovery_5%,recovery_10%,recovery_20%
egfr,egfr,205632,4032,0.0196078431372549,0.8248359053908021,0.3988688581624779,0.2918826225513353,0.3716513344391727,0.2993785180771207,6.777400937358934,0.17674482224607094,9.013985934549618,0.24527305371681066,32.09268292682927,129,0.6292682926829268,20.24124513618677,408,0.3968871595330739,15.999513618677042,645,0.313715953307393,12.167071984435799,981,0.23857003891050585,7.986577181208054,1610,0.15659955257270694,5.5159266643972185,2224,0.10815542479210231,3.487137090891407,2812,0.0683752370763021,0.8184740530326715,3.199404761904762,10.119047619047619,15.997023809523808,24.330357142857142,39.93055555555556,55.158730158730165,69.7420634920635
drd2,drd2,164373,3223,0.0196078431372549,0.9042644595368247,0.5275424589917584,0.39947025957261684,0.49761356849340554,0.413720351014196,8.73562214760226,0.2836185509619102,14.46454609905742,0.3285758609490692,40.11585365853659,129,0.7865853658536586,27.953714981729597,450,0.5481120584652862,22.007912355447353,709,0.43152769324406576,16.570733191359903,1068,0.3249163370854883,10.33901192504259,1666,0.20272572402044292,6.885015513779886,2219,0.13500030419176248,4.16234714363935,2683,0.08161464987528137,0.896343482418006,4.002482159478746,13.962147067949115,21.99813838039094,33.136829041265905,51.69097114489606,68.8488985417313,83.24542351846105
adrb2,adrb2,15702,447,0.0284677111196026,0.709681206220574,0.17794803772115647,0.10587059511056263,0.15491391045824687,0.10717684104145028,3.2083628328977785,0.07483179948095223,2.6286552918342547,0.14073494915020418,9.367337807606264,4,0.26666666666666666,5.404233350542076,12,0.15384615384615385,4.922327191895011,22,0.14012738853503184,4.810456119351943,43,0.13694267515923567,3.4903774633437354,78,0.09936305732484077,2.998144744154234,134,0.08535031847133757,2.494724917710426,223,0.07101910828025478,0.7036993107362889,0.8948545861297539,2.684563758389262,4.921700223713646,9.619686800894854,17.449664429530202,29.977628635346754,49.88814317673378
bace1,bace1,18706,485,0.025927509889874908,0.7627396054286518,0.12913614459808187,0.06077048290830168,0.09621267545530292,0.04514957318897251,2.405573027185769,0.058892276039283306,2.2714204445171826,0.11834051233590237,4.28545246277205,2,0.1111111111111111,2.488327236448287,6,0.06451612903225806,3.0937758421081645,15,0.08021390374331551,2.475020673686532,24,0.06417112299465241,2.3925199845636476,58,0.06203208556149733,2.3306444677214837,113,0.06042780748663101,2.4949787393524527,242,0.06468858593958834,0.7558781514503864,0.4123711340206186,1.2371134020618557,3.0927835051546393,4.948453608247423,11.958762886597938,23.298969072164947,49.896907216494846
esr1,esr1,21445,627,0.029237584518535788,0.7764801592536701,0.34500186395560334,0.2550953099567406,0.334231373406387,0.31403661921130466,5.729210708102178,0.1742716757473649,5.96053602297008,0.2740094022346571,13.029543555859345,8,0.38095238095238093,15.34320082278764,48,0.4485981308411215,12.626175677085662,79,0.3691588785046729,10.228800548525093,128,0.29906542056074764,7.114896510271609,223,0.2080223880597015,4.674136048227761,293,0.13666044776119404,3.094098883572568,388,0.09046397761716017,0.7683975140589981,1.2759170653907497,7.655502392344498,12.599681020733652,20.414673046251995,35.56618819776715,46.730462519936204,61.88197767145136
hdac2,hdac2,10604,238,0.022444360618634477,0.8241199817762335,0.37937536581292747,0.27313761699933686,0.3611904381907519,0.302305449625635,6.463815495572719,0.17267032082003306,7.693260848637103,0.2453987729561703,22.277310924369747,5,0.5,19.335024575868083,23,0.4339622641509434,16.39273822736642,39,0.36792452830188677,11.138655462184873,53,0.25,7.649944506104328,91,0.17169811320754716,5.127984778817187,122,0.11509433962264151,3.5097272871412715,167,0.07877358490566037,0.816838580018956,2.100840336134454,9.663865546218489,16.386554621848738,22.268907563025213,38.23529411764706,51.26050420168067,70.16806722689076
jak2,jak2,6743,153,0.022690197241583866,0.8575877493131799,0.28732879089926305,0.19859759786565104,0.26936093065485706,0.19293096652808767,5.066526193269327,0.11457748811736979,5.0496470743491795,0.20171673815331928,0.0,0,0.0,10.684095860566448,8,0.24242424242424243,9.209052775338991,14,0.208955223880597,8.222368549409813,25,0.1865671641791045,6.146525474680476,47,0.1394658753709199,4.250256977172669,65,0.09643916913946587,3.4982884350575048,107,0.07937685459940653,0.8494478418190154,0.0,5.228758169934641,9.15032679738562,16.33986928104575,30.718954248366014,42.48366013071895,69.93464052287581
pparg,pparg,26589,723,0.027191695814058444,0.7648514115573197,0.27874884271624834,0.19073939857499425,0.2594987123044039,0.21607334767377148,4.744971232033741,0.11959334483984976,4.3981569100231885,0.2005383579581116,12.730130864985638,9,0.34615384615384615,9.472588960140827,34,0.25757575757575757,9.020512017536992,65,0.24528301886792453,8.103171812363739,117,0.22033898305084745,5.340673579173809,193,0.145221971407073,4.026259097252794,291,0.10948081264108352,2.884251328823152,417,0.078427684784653,0.7576630473598754,1.2448132780082988,4.702627939142462,8.990318118948824,16.182572614107883,26.69432918395574,40.24896265560166,57.676348547717836
cyp3a4,cyp3a4,16983,333,0.0196078431372549,0.6410875740605471,0.20891973054135213,0.16218019821623428,0.18011016330118146,0.19238039390299314,3.8009938755701644,0.09559728565347982,4.875461568327471,0.1652173912643752,31.875,10,0.625,17.0,28,0.3333333333333333,11.467455621301776,38,0.22485207100591717,7.221238938053097,48,0.1415929203539823,4.204946996466432,70,0.08244994110718493,2.88339222614841,96,0.05653710247349823,1.8171378091872794,121,0.0356301531213192,0.6383120446006861,3.003003003003003,8.408408408408409,11.411411411411411,14.414414414414415,21.02102102102102,28.82882882882883,36.33633633633634
fxa,fxa,22695,445,0.0196078431372549,0.8308964524681226,0.44801413962883463,0.3693240752430248,0.4363487307201827,0.4429749266943839,7.7857539470538155,0.3073125191164981,15.672938474941404,0.3521681996886246,51.0,22,1.0,36.557522123893804,81,0.7168141592920354,25.5,113,0.5,16.549668874172184,147,0.32450331125827814,8.904761904761905,198,0.1746031746031746,5.529308065226972,246,0.10841780520052886,3.460674157303371,308,0.06785635602555629,0.8244029398149867,4.943820224719101,18.202247191011235,25.39325842696629,33.03370786516854,44.49438202247191,55.28089887640449,69.21348314606742
