,name,n_total,n_actives,baseline_rate,roc_auc,partial_auc_10,partial_auc_5,bedroc_20,bedroc_80,rie_20,average_precision,ap_lift,best_f1,ef_0.1%_ef,ef_0.1%_hits,ef_0.1%_hitrate,ef_0.5%_ef,ef_0.5%_hits,ef_0.5%_hitrate,ef_1%_ef,ef_1%_hits,ef_1%_hitrate,ef_2%_ef,ef_2%_hits,ef_2%_hitrate,ef_5%_ef,ef_5%_hits,ef_5%_hitrate,ef_10%_ef,ef_10%_hits,ef_10%_hitrate,ef_20%_ef,ef_20%_hits,ef_20%_hitrate,auac,recovery_0.1%,recovery_0.5%,recovery_1%,recovery_2%,recovery_5%,recovery_10%,recovery_20%
egfr,egfr,205632,4032,0.0196078431372549,0.895109009496449,0.5276174286265432,0.4047731737370875,0.49699420768886465,0.4186759877030699,8.725899601819432,0.2845492782431385,14.512013190400065,0.3288527664408038,40.05365853658537,161,0.7853658536585366,29.02237354085603,585,0.5690661478599222,22.548151750972764,909,0.44212062256809337,16.570038910505836,1336,0.32490272373540857,10.432156405018967,2103,0.2045520863729209,6.830423576326411,2754,0.1339298740456159,4.1109030783446,3315,0.08060594271263921,0.8873685222304585,3.9930555555555554,14.508928571428573,22.544642857142858,33.13492063492063,52.157738095238095,68.30357142857143,82.21726190476191
drd2,drd2,164373,3223,0.0196078431372549,0.9253393345167168,0.6132648628010992,0.48259899733618383,0.5776073878496846,0.48486879575111136,9.979171090734775,0.3540571387089914,18.056914074158563,0.3912320483249382,44.46951219512195,143,0.8719512195121951,31.867235079171742,513,0.6248477466504263,25.236153377967135,813,0.49482653682288497,19.642835412229996,1266,0.3851536355339215,12.256631783889024,1975,0.2403261134095887,7.6544989961671845,2467,0.15008821561112126,4.374885928089068,2820,0.08578207702135426,0.9170017929469529,4.436860068259386,15.916847657461991,25.224945702761403,39.28017375116351,61.27831213155446,76.54359292584549,87.49612162581445
adrb2,adrb2,15702,447,0.0284677111196026,0.7596370280914241,0.22364325482458167,0.127048233718068,0.196017916582561,0.13737537055812674,3.794486642846721,0.09443928912677044,3.3174177133524596,0.16941852113373124,14.051006711409396,6,0.4,7.655997246601274,17,0.21794871794871795,5.369811482067285,24,0.15286624203821655,4.922327191895011,44,0.14012738853503184,4.251100756636601,95,0.12101910828025478,3.669371179412645,164,0.10445859872611465,2.6849057410336425,240,0.07643312101910828,0.7522791664778878,1.342281879194631,3.803131991051454,5.369127516778524,9.843400447427292,21.252796420581653,36.68903803131991,53.691275167785236
bace1,bace1,18706,485,0.025927509889874908,0.7706866496514446,0.14741289222755888,0.07918019142973695,0.12030950475373056,0.05237534565447942,2.7577379858929287,0.0632951982753201,2.4412370699755415,0.12355658196206151,0.0,0,0.0,2.488327236448287,6,0.06451612903225806,2.06251722807211,10,0.053475935828877004,3.19690170351177,31,0.08288770053475936,3.1350261866696068,76,0.08128342245989305,2.557521362809416,124,0.06631016042780749,2.5465278868597347,247,0.06602512697139802,0.7636726625009231,0.0,1.2371134020618557,2.0618556701030926,6.391752577319587,15.670103092783505,25.56701030927835,50.92783505154639
esr1,esr1,21445,627,0.029237584518535788,0.8081592837017039,0.3430226081802905,0.22920754843028582,0.3231877357285532,0.2454219726819395,5.572933222900669,0.14956655287627688,5.115557777403122,0.2534043812440211,3.257385888964836,2,0.09523809523809523,8.310900445676639,26,0.24299065420560748,10.068975539954389,63,0.29439252336448596,8.950200479959456,112,0.2616822429906542,6.827748220619391,214,0.19962686567164178,4.929378972363065,309,0.14412313432835822,3.349282296650718,420,0.09792492422476101,0.7991595651202233,0.3189792663476874,4.146730462519936,10.047846889952153,17.862838915470494,34.13078149920255,49.282296650717704,66.98564593301435
hdac2,hdac2,10604,238,0.022444360618634477,0.9094318124703095,0.5483708050073203,0.40930109261532127,0.5178014145619315,0.439734255660703,8.833316548276366,0.3087755932261978,13.757379792313452,0.37802197797208453,31.188235294117646,7,0.7,26.06025051530046,31,0.5849056603773585,21.4366576819407,51,0.4811320754716981,17.233391469795468,82,0.3867924528301887,10.760361503091803,128,0.24150943396226415,7.229617884889805,172,0.16226415094339622,4.28733153638814,204,0.09622641509433963,0.9002407922806995,2.941176470588235,13.025210084033615,21.428571428571427,34.45378151260504,53.78151260504202,72.26890756302521,85.71428571428571
jak2,jak2,6743,153,0.022690197241583866,0.8884272069981254,0.3707786604778482,0.22885734971783356,0.3430036393381417,0.2126611551361189,6.178711106852102,0.1440541148183026,6.348737883789637,0.22843822839233865,14.690631808278866,2,0.3333333333333333,8.013071895424837,6,0.18181818181818182,9.866842259291776,15,0.22388059701492538,9.209052775338991,28,0.208955223880597,6.931188301235429,53,0.1572700296735905,5.754194061402998,88,0.13056379821958458,4.217562692732879,129,0.0956973293768546,0.8796093552354949,1.3071895424836601,3.9215686274509802,9.803921568627452,18.30065359477124,34.64052287581699,57.51633986928104,84.31372549019608
pparg,pparg,26589,723,0.027191695814058444,0.7592052785293372,0.29073128141322885,0.1962572505023496,0.26743017787678114,0.20721922983421326,4.859446146942567,0.11323209603016463,4.164216046121781,0.21166892804282422,0.0,0,0.0,8.915377844838426,32,0.24242424242424243,9.298066233461208,67,0.2528301886792453,8.380203327316345,121,0.2278719397363465,5.811095604282383,210,0.1580135440180587,4.150782574487416,300,0.11286681715575621,2.787417950877051,403,0.07579462102689487,0.7521535881969931,0.0,4.426002766251729,9.266943291839558,16.735822959889347,29.045643153526974,41.49377593360996,55.73997233748271
cyp3a4,cyp3a4,16983,333,0.0196078431372549,0.692985237489742,0.2415722028334641,0.20682123565006447,0.22351731909303174,0.2566674448070414,4.476184711354119,0.13065295790613146,6.6633008532127045,0.20773930749199312,35.0625,11,0.6875,21.25,35,0.4166666666666667,15.390532544378697,51,0.30177514792899407,9.929203539823009,66,0.19469026548672566,4.985865724381625,83,0.0977620730270907,3.0636042402826855,102,0.06007067137809187,2.0273851590106005,135,0.03975265017667844,0.6891905153696358,3.303303303303303,10.51051051051051,15.315315315315313,19.81981981981982,24.924924924924923,30.630630630630627,40.54054054054054
fxa,fxa,22695,445,0.0196078431372549,0.85766802171443,0.5070561797752807,0.41466279510162857,0.4897076840991847,0.4752675871457072,8.615604502083302,0.3443957919414085,17.564185389011833,0.37058823524888623,51.0,22,1.0,37.91150442477876,84,0.7433628318584071,27.98230088495575,124,0.5486725663716814,17.225165562913908,153,0.33774834437086093,10.164021164021163,226,0.19929453262786595,6.226090788893786,277,0.12208021154693698,3.696629213483146,329,0.07248292575457149,0.850631357201383,4.943820224719101,18.876404494382022,27.86516853932584,34.38202247191011,50.78651685393258,62.247191011235955,73.93258426966293
